compilation_strategy;global;local;misses;compilations;evictions;e2e;exec;waiting;gini
jit;2500;1500;9171;2460;0;124507174290;83230389944;41276784346;None
predictive.lstm-50;2500;1000;6327;2460;0;119635425704;84460193346;35175232357;None
jit;2500;1000;9399;2460;0;128045590225;84015595230;44029994994;None
predictive.lstm-50;2500;500;8958;2460;0;185029551666;93435031524;91594520142;None
jit;2500;500;9745;2460;0;157787750871;92110901095;65676849775;None
predictive.lstm-50;2400;2500;3983;2460;42;86850194127;80863530863;5986663264;None
jit;2400;2500;9521;2460;60;125605398994;83251309922;42354089072;None
predictive.lstm-50;2400;2000;4034;2460;55;87352642415;81168160924;6184481491;None
jit;2400;2000;9465;2460;60;126302614205;83315561557;42987052647;None
predictive.lstm-50;2400;1500;4408;2460;60;91523563013;81705664363;9817898649;None
jit;2400;1500;9227;2460;60;125167395888;83986631161;41180764727;None
predictive.lstm-50;2400;1000;6401;2460;60;120825613163;84718711969;36106901194;None
jit;2400;1000;9509;2460;60;127593540552;83832059868;43761480684;None
predictive.lstm-50;2400;500;8923;2460;60;185409020426;93679832642;91729187783;None
jit;2400;500;9652;2460;60;155885703327;91529066551;64356636776;None
predictive.lstm-50;2300;2500;7753;4989;2677;91983701415;81320290114;10663411300;None
jit;2300;2500;9412;2460;160;125706596421;83097767535;42608828885;None
predictive.lstm-50;2300;2000;7795;4983;2672;92151698938;81268867914;10882831023;None
jit;2300;2000;9365;2460;160;124813208979;83344093622;41469115357;None
predictive.lstm-50;2300;1500;8427;4804;2504;99250968344;82032254057;17218714287;None
jit;2300;1500;9422;2460;160;125841249105;83274705109;42566543996;None
predictive.lstm-50;2300;1000;6573;2682;382;122052938990;84472353745;37580585244;None
jit;2300;1000;9395;2461;161;127749678876;83855820102;43893858773;None
predictive.lstm-50;2300;500;8892;2460;160;184855088714;93697123406;91157965307;None
jit;2300;500;9727;2462;162;155487437552;91264056697;64223380855;None
predictive.lstm-50;2200;2500;11042;7154;4943;95580725889;81201498573;14379227315;None
jit;2200;2500;11251;4207;2007;130433673828;83596257129;46837416699;None
predictive.lstm-50;2200;2000;11106;7162;4951;96024957029;81318482021;14706475007;None
jit;2200;2000;11266;4121;1921;130309275643;83584917662;46724357980;None
predictive.lstm-50;2200;1500;8399;4952;2752;99658867999;82223167140;17435700858;None
jit;2200;1500;11454;4483;2283;131070225878;83641137620;47429088258;None
predictive.lstm-50;2200;1000;7316;3345;1139;123207559814;84494850772;38712709041;None
jit;2200;1000;10285;3410;1210;131050532849;84674830562;46375702286;None
predictive.lstm-50;2200;500;8946;2460;260;185208005478;93453168560;91754836918;None
jit;2200;500;9885;2464;264;156853911690;91206726729;65647184961;None
predictive.lstm-50;2100;2500;11024;7236;5125;95821935877;81435852179;14386083698;None
jit;2100;2500;12925;4606;2506;135962982444;83844246003;52118736440;None
predictive.lstm-50;2100;2000;11154;7218;5107;96252026623;81482245064;14769781559;None
jit;2100;2000;13063;4679;2579;137015649096;83659103115;53356545981;None
predictive.lstm-50;2100;1500;13530;9035;6935;106300186770;82460036770;23840150000;None
jit;2100;1500;12523;4269;2169;136028826689;83741384666;52287442023;None
predictive.lstm-50;2100;1000;8729;4205;2099;129358849093;84708291374;44650557718;None
jit;2100;1000;12318;4170;2070;137850821953;84148239802;53702582151;None
predictive.lstm-50;2100;500;9055;2470;370;185482077801;93544176909;91937900891;None
jit;2100;500;10861;3588;1488;158417959274;91720686646;66697272628;None
predictive.lstm-50;2000;2500;16215;11471;9459;100996150057;81374307542;19621842515;None
jit;2000;2500;13977;4669;2669;139961500914;83498039053;56463461861;None
predictive.lstm-50;2000;2000;16224;11507;9507;101409984255;81410073385;19999910870;None
jit;2000;2000;14110;4670;2670;140913856808;83543893529;57369963278;None
predictive.lstm-50;2000;1500;15693;11013;9013;107175653189;82253813795;24921839394;None
jit;2000;1500;14123;4672;2672;140942890739;84539836400;56403054338;None
predictive.lstm-50;2000;1000;10684;5533;3525;131326069435;84474603593;46851465842;None
jit;2000;1000;13645;4451;2451;142175035831;84195045265;57979990565;None
predictive.lstm-50;2000;500;10272;3111;1107;187819483155;93666035682;94153447472;None
jit;2000;500;11639;3867;1867;161863850988;92956363629;68907487358;None
predictive.lstm-50;2500;2500;3950;2460;0;86966637450;81021643083;5944994366;None
jit;2500;2500;9331;2460;0;125144481880;83444342663;41700139216;None
predictive.lstm-50;2500;2000;4021;2460;0;87356722069;81163623693;6193098375;None
jit;2500;2000;9463;2460;0;126208881303;83449055790;42759825513;None
predictive.lstm-50;2500;1500;4439;2460;0;91618674333;81731921069;9886753263;None
jit;2500;1500;9336;2460;0;126240362178;83881233708;42359128470;None
predictive.lstm-50;2500;1000;6347;2460;0;120068672234;84603409969;35465262265;None
jit;2500;1000;9534;2460;0;128176523775;84065522084;44111001691;None
predictive.lstm-50;2500;500;8943;2460;0;185518616328;93766514324;91752102003;None
jit;2500;500;9749;2460;0;155940599176;91120745859;64819853317;None
